feature,importance_mean,importance_std
ph,0.037023128171965736,0.015147587777853173
nitrogen,0.025441647530817946,0.010971845612616826
phosphorus,0.02386468041797974,0.00781258580770406
specific_humidity_mean,0.021410791287503075,0.010315841614112552
potassium,0.01964735373931148,0.010184091460527175
sulfur,0.01926644710538542,0.01089688023821366
soil_moisture_surface,0.006469527427154072,0.004909294746216816
temperature_mean,0.005630083545034713,0.007188772363192888
zinc,0.003585687065588601,0.012136676133392607
surface_pressure,0.0032656419494908467,0.004480215532065511
soil_color,0.0032450343075139942,0.012482039512798415
temperature_seasonal_range,0.0019678206266142,0.0033095991771258256
rainfall_mean,0.0015786971680956316,0.004413004265858764
rainfall_total_proxy,-0.003064159185981359,0.004155529588076299
cloud_amount,-0.0041727425864444,0.005013104098258929
