record_id,source_dataset,soil_color,ph,nitrogen,phosphorus,potassium,zinc,sulfur,specific_humidity_winter,specific_humidity_spring,specific_humidity_summer,specific_humidity_autumn,temperature_max_winter,temperature_max_spring,temperature_max_summer,temperature_max_autumn,temperature_min_winter,temperature_min_spring,temperature_min_summer,temperature_min_autumn,rainfall_winter,rainfall_spring,rainfall_summer,rainfall_autumn,wind_speed_10m,soil_moisture_surface,cloud_amount,wind_speed_range_2m,surface_pressure,specific_humidity_mean,temperature_mean,temperature_seasonal_range,rainfall_mean,rainfall_total_proxy,target_crop
rec_00001,mendeley_8v757rr4st,yellowish_brown,5.81,0.23,5.401,738.231,2.976,13.816,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00002,mendeley_8v757rr4st,yellowish_brown,5.43,0.23,10.478,606.382,3.077,16.421,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00003,mendeley_8v757rr4st,brown,5.41,0.23,6.847,386.58,6.611,16.557,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00004,mendeley_8v757rr4st,red,5.65,0.23,3.418,207.086,0.460181,16.075,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00005,mendeley_8v757rr4st,red,5.27,0.23,39.282,317.357,2.743,12.558,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00006,mendeley_8v757rr4st,brown,5.06,0.23,8.48,148.437,4.511,17.755,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00007,mendeley_8v757rr4st,red,5.57,0.23,2.147,303.528,1.418,11.203,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00008,mendeley_8v757rr4st,brown,5.2,0.23,30.3,380.599,1.772,13.985,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00009,mendeley_8v757rr4st,red,5.34,0.23,6.382,401.063,2.433,13.069,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00010,mendeley_8v757rr4st,gray,5.95,0.23,27.577,226.949,0.451893,17.067,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00011,mendeley_8v757rr4st,red,5.47,0.23,0.83888,217.874,0.723258,11.88,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00012,mendeley_8v757rr4st,brown,6.43,0.23,46.842,417.185,1.17,15.386,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00013,mendeley_8v757rr4st,red,6.06,0.23,1.505,149.357,0.754669,11.35,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00014,mendeley_8v757rr4st,brown,5.6,0.23,3.822,423.766,2.093,12.197,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00015,mendeley_8v757rr4st,brown,6.03,0.23,66.314,351.523,1.157,17.559,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00016,mendeley_8v757rr4st,gray,5.25,0.23,2.601,164.48,3.62,10.133,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00017,mendeley_8v757rr4st,brown,6.17,0.23,6.166,77.385,0.942004,10.85,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,10.0241666665,16.512916666625,23.13666667,6.229166665749999,24.916666662999997,Barley
rec_00018,mendeley_8v757rr4st,black,6.15,0.23,5.055,116.77,1.831,10.016,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00019,mendeley_8v757rr4st,black,5.79,0.23,4.894,137.386,2.773,8.975,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00020,mendeley_8v757rr4st,reddish_brown,5.99,0.23,12.275,81.482,1.082,10.742,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00021,mendeley_8v757rr4st,black,5.9,0.23,2.025,196.733,1.705,14.6,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00022,mendeley_8v757rr4st,yellowish_brown,5.65,0.23,0.412473,388.938,1.237,10.498,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00023,mendeley_8v757rr4st,brown,5.84,0.23,12.296,146.312,1.414,11.191,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00024,mendeley_8v757rr4st,red,5.99,0.23,7.601,55.789,1.355,11.674,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00025,mendeley_8v757rr4st,brown,5.8,0.321,4.0,276.0,2.0,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,8.59500000075,13.937083334125001,23.563333337,3.2883333332499998,13.153333332999999,Barley
rec_00026,mendeley_8v757rr4st,red,6.3,0.23,80.748,277.673,1.209,11.417,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00027,mendeley_8v757rr4st,reddish_brown,5.93,0.23,6.988,234.671,0.925432,11.54,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00028,mendeley_8v757rr4st,brown,6.05,0.23,7.112,96.094,0.923301,11.728,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00029,mendeley_8v757rr4st,red,5.63,0.23,3.883,508.623,0.679485,12.999,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00030,mendeley_8v757rr4st,brown,5.99,0.23,74.965,403.938,1.985,16.624,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00031,mendeley_8v757rr4st,brown,5.9,0.2526,12.0,347.0,3.5,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,8.59500000075,13.937083334125001,23.563333337,3.2883333332499998,13.153333332999999,Barley
rec_00032,mendeley_8v757rr4st,dark_brown,5.2,0.23,8.851,135.701,3.177,12.095,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
rec_00033,mendeley_8v757rr4st,reddish_brown,6.21,0.23,13.07,175.786,1.443,9.367,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,9.0341666675,14.035416667,24.829999996999998,3.45333333325,13.813333333,Barley
