continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,WD-ISIS,1989-2-1,-3.683333333333334,4126,Ah1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.28333333333333,12,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID046,1115889,South-Eastern Asia,0,{0.1},0.1
Asia,Indonesia,WD-ISIS,1989-2-1,-3.633333333333333,4160,Ah2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.2,24,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID044,1115894,South-Eastern Asia,9,{0.1},0.1
Asia,Indonesia,WD-ISIS,1992-??-??,-0.993333333333333,4347,Bt1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.95666666666666,70,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID047,1115919,South-Eastern Asia,40,{0.0},0.0
Asia,Indonesia,WD-ISIS,1989-2-1,-3.633333333333333,4161,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.2,45,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID044,1115894,South-Eastern Asia,24,{0.0},0.0
Asia,Indonesia,WD-ISIS,1992-??-??,-0.993333333333333,4599,E,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.95666666666666,38,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID048,1115955,South-Eastern Asia,12,{0.1},0.1
Asia,Indonesia,WD-ISIS,1989-2-1,-3.633333333333333,4165,Bw2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.2,132,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID044,1115894,South-Eastern Asia,72,{0.0},0.0
Asia,Indonesia,WD-ISIS,1992-??-??,-0.993333333333333,4596,Ah,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.95666666666666,3,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID048,1115955,South-Eastern Asia,0,{0.3},0.3
Asia,Indonesia,WD-ISIS,1989-2-1,-3.683333333333334,4132,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.28333333333333,127,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID046,1115889,South-Eastern Asia,67,{0.0},0.0
Asia,Indonesia,WD-ISIS,1992-??-??,-0.993333333333333,4604,Btoc,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.95666666666666,155,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID048,1115955,South-Eastern Asia,105,{0.0},0.0
Asia,Indonesia,WD-ISIS,1992-??-??,-0.993333333333333,4600,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.95666666666666,60,"{""instrument = [ electrode ] ratio = [ 1:2.5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID048,1115955,South-Eastern Asia,38,{0.1},0.1
