continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,US-NCSS,1987-5-1,-6.4333334,602986,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,107.4000015,30,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,Over 10 km,87P0486,1052485,South-Eastern Asia,15,{12.4},12.4
Asia,Indonesia,WD-WISE,1981-7-1,-6.833333333333333,43310,3B22b,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",107.61666666666666,210,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0019,1124715,South-Eastern Asia,162,{32.8},32.8
Asia,Indonesia,WD-Mangroves,2010-??-??,1.623762965202332,3177222,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",124.76292419433594,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DM15 Bunaken,1117512,South-Eastern Asia,15,{160.0},160.0
Asia,Indonesia,WD-WISE,1987-11-1,-0.45,42276,Bw3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",100.45,160,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0069,1124542,South-Eastern Asia,127,{1.8},1.8
Asia,Indonesia,AU-CSIRO,????-??-??,-10.077,1861937,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",123.863,120,"{""detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ] temperature = [ no external heat ] treatment = [ not applied ]""}",False,100 m - 1 km,397|APSOIL|675|1,731717,South-Eastern Asia,90,{1.0},1.0
Asia,Indonesia,WD-WISE,1987-6-1,-6.386111111111111,43908,Ap1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.5375,13,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,1 km - 10 km,ID0059,1124814,South-Eastern Asia,0,{14.0},14.0
Asia,Indonesia,US-NCSS,1985-9-1,-6.4583335,601102,C2,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7936096,160,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,1 km - 10 km,86P0132,1052206,South-Eastern Asia,120,{3.4},3.4
Asia,Indonesia,WD-WISE,1987-11-1,-1.233333333333333,43243,Bs2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.61666666666666,150,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0060,1124706,South-Eastern Asia,100,{6.1},6.1
Asia,Indonesia,US-NCSS,????-??-??,-6.5500002,791572,B13,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7166672,109,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,Circa 100 m,87P0485,1078217,South-Eastern Asia,81,{3.7},3.7
Asia,Indonesia,WD-ISIS,1987-5-1,-7.616666666666667,2545,Ah1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.83333333333333,15,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID025,1115659,South-Eastern Asia,0,{10.5},10.5
Asia,Indonesia,WD-ISIS,1987-11-1,-1.633333333333333,2325,BA,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",102.31666666666666,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID032,1115631,South-Eastern Asia,11,{11.8},11.8
Asia,Indonesia,WD-WISE,1983-2-1,-6.733333333333333,42979,O/Ah,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",105.31666666666666,7,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0036,1124663,South-Eastern Asia,0,{79.4},79.4
Asia,Indonesia,WD-WISE,1981-9-1,-7.983333333333333,36191,II,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.66666666666667,64,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0025,1123370,South-Eastern Asia,49,{7.7},7.7
Asia,Indonesia,WD-ISIS,1982-12-1,-0.533333333333333,4993,Bw1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.6,39,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID015,1116011,South-Eastern Asia,15,{4.9},4.9
Asia,Indonesia,WD-Mangroves,2009-??-??,-7.7242751121521,3172896,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",108.97032928466797,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 J2 Core 3,1116650,South-Eastern Asia,15,{51.8},51.8
Asia,Indonesia,WD-NWAFU-SCS,????-??-??,-1.066666722297668,3178384,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.93333435058594,5,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,88,1117706,South-Eastern Asia,0,{14.8},14.8
Asia,Indonesia,WD-WISE,1983-8-1,4.866666666666667,42719,Ah3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",96.73333333333333,25,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0034,1124614,South-Eastern Asia,15,{43.0},43.0
Asia,Indonesia,WD-ISIS,1987-11-1,2.566666666666666,4502,BA,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",98.61666666666666,35,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID029,1115941,South-Eastern Asia,16,{105.0},105.0
Asia,Indonesia,US-NCSS,1985-9-3,-1.6069444,601131,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,102.3041687,32,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,1 km - 10 km,86P0130,1052211,South-Eastern Asia,8,{11.7},11.7
Asia,Indonesia,WD-ISIS,1981-7-1,-6.833333333333333,3655,3Bwb,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",107.61666666666666,210,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID011,1115821,South-Eastern Asia,162,{32.8},32.8
Asia,Indonesia,WD-Mangroves,2009-??-??,-7.7242751121521,3172899,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",108.97032928466797,300,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 J2 Core 3,1116650,South-Eastern Asia,100,{48.6},48.6
Asia,Indonesia,WD-Mangroves,2009-??-??,1.371713995933533,3172598,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",124.5511474609375,300,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 S6 Core 4,1116593,South-Eastern Asia,100,{155.7},155.7
Asia,Indonesia,WD-ISIS,1987-11-1,2.266666666666667,4902,2C,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",98.66666666666667,158,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID027,1115996,South-Eastern Asia,133,{4.2},4.2
Asia,Indonesia,WD-WISE,1988-12-1,1.433333333333333,42869,Bt1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.18055555555556,50,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0078,1124642,South-Eastern Asia,32,{2.3},2.3
Asia,Indonesia,WD-Mangroves,2009-??-??,-2.848812103271484,3177658,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",111.73873901367188,50,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 B2 Core 1,1117582,South-Eastern Asia,30,{127.6},127.6
Asia,Indonesia,WD-Mangroves,2009-??-??,-2.741280078887939,3172957,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",111.71382904052734,50,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 B5 Core 5,1116665,South-Eastern Asia,30,{70.3},70.3
Asia,Indonesia,WD-Mangroves,1997-??-??,-4.796595096588135,3177212,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",136.85011291503906,42,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,GJB04 1,1117511,South-Eastern Asia,38,{120.0},120.0
Asia,Indonesia,WD-Mangroves,2009-??-??,1.372136950492859,3171601,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",124.5509262084961,100,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 S6 Core 2,1116299,South-Eastern Asia,50,{150.1},150.1
Asia,Indonesia,WD-Mangroves,2009-??-??,-2.783792972564697,3173422,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",111.69857025146484,50,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 B3 Core 2,1116749,South-Eastern Asia,30,{102.4},102.4
Asia,Indonesia,WD-ISIS,1987-5-1,-7.866666666666667,4918,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.43333333333334,16,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID014,1115999,South-Eastern Asia,5,{16.3},16.3
