continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,US-NCSS,1987-5-1,-6.4333334,602986,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,107.4000015,30,"{""instrument = [ electrode ] ratio = [ 1:1 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,87P0486,1052485,South-Eastern Asia,15,{5.5},5.5
Asia,Indonesia,WD-WISE,1981-7-1,-6.833333333333333,43310,3B22b,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",107.61666666666666,210,"{""concentration = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID0019,1124715,South-Eastern Asia,162,{5.5},5.5
Asia,Indonesia,WD-WISE,1987-11-1,-0.45,42276,Bw3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",100.45,160,"{""concentration = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID0069,1124542,South-Eastern Asia,127,{6.2},6.2
Asia,Indonesia,AU-CSIRO,????-??-??,-10.077,1861937,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",123.863,120,"{""concentration = [ not applied ] instrument = [ electrode ] ratio = [ 1:5 ] ratio base = [ weight / volume ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ] spectral = [ false ]""}",False,100 m - 1 km,397|APSOIL|675|1,731717,South-Eastern Asia,90,{7.5},7.5
Asia,Indonesia,WD-WISE,1987-6-1,-6.386111111111111,43908,Ap1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.5375,13,"{""concentration = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,ID0059,1124814,South-Eastern Asia,0,{5.5},5.5
Asia,Indonesia,US-NCSS,1985-9-1,-6.4583335,601102,C2,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7936096,160,"{""instrument = [ electrode ] ratio = [ 1:1 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,1 km - 10 km,86P0132,1052206,South-Eastern Asia,120,{6.3},6.3
Asia,Indonesia,WD-WISE,1987-11-1,-1.233333333333333,43243,Bs2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.61666666666666,150,"{""concentration = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID0060,1124706,South-Eastern Asia,100,{4.7},4.7
Asia,Indonesia,US-NCSS,????-??-??,-6.5500002,791572,B13,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7166672,109,"{""instrument = [ electrode ] ratio = [ 1:1 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Circa 100 m,87P0485,1078217,South-Eastern Asia,81,{5.3},5.3
Asia,Indonesia,WD-ISIS,1987-5-1,-7.616666666666667,2545,Ah1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.83333333333333,15,"{""concentration = [ not applied ] instrument = [ electrode ] monitoring = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID025,1115659,South-Eastern Asia,0,{7.6},7.6
Asia,Indonesia,WD-ISIS,1987-11-1,-1.633333333333333,2325,BA,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",102.31666666666666,30,"{""concentration = [ not applied ] instrument = [ electrode ] monitoring = [ not applied ] ratio = [ 1:2.5 ] sample pretreatment = [ sieved over 2 mm sieve ] solution = [ water [H2O] ]""}",False,Over 10 km,ID032,1115631,South-Eastern Asia,11,{4.5},4.5
