continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,US-NCSS,1987-5-1,-6.4333334,602986,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,107.4000015,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,87P0486,1052485,South-Eastern Asia,15,{7.5},7.5
Asia,Indonesia,WD-WISE,1981-7-1,-6.833333333333333,43310,3B22b,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",107.61666666666666,210,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0019,1124715,South-Eastern Asia,162,{6.0},6.0
Asia,Indonesia,WD-WISE,1987-11-1,-0.45,42276,Bw3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",100.45,160,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0069,1124542,South-Eastern Asia,127,{11.0},11.0
Asia,Indonesia,WD-WISE,1987-6-1,-6.386111111111111,43908,Ap1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.5375,13,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0059,1124814,South-Eastern Asia,0,{1.0},1.0
Asia,Indonesia,US-NCSS,1985-9-1,-6.4583335,601102,C2,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7936096,160,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,86P0132,1052206,South-Eastern Asia,120,{2.9},2.9
Asia,Indonesia,WD-WISE,1987-11-1,-1.233333333333333,43243,Bs2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.61666666666666,150,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0060,1124706,South-Eastern Asia,100,{5.0},5.0
Asia,Indonesia,US-NCSS,????-??-??,-6.5500002,791572,B13,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,106.7166672,109,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Circa 100 m,87P0485,1078217,South-Eastern Asia,81,{5.9},5.9
Asia,Indonesia,WD-ISIS,1987-5-1,-7.616666666666667,2545,Ah1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.83333333333333,15,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID025,1115659,South-Eastern Asia,0,{3.2},3.2
Asia,Indonesia,WD-ISIS,1987-11-1,-1.633333333333333,2325,BA,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",102.31666666666666,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID032,1115631,South-Eastern Asia,11,{42.3},42.3
Asia,Indonesia,WD-WISE,1983-2-1,-6.733333333333333,42979,O/Ah,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",105.31666666666666,7,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0036,1124663,South-Eastern Asia,0,{27.0},27.0
Asia,Indonesia,WD-ISIS,1982-12-1,-0.533333333333333,4993,Bw1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.6,39,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID015,1116011,South-Eastern Asia,15,{39.6},39.6
Asia,Indonesia,WD-WISE,1983-8-1,4.866666666666667,42719,Ah3,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",96.73333333333333,25,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0034,1124614,South-Eastern Asia,15,{62.0},62.0
Asia,Indonesia,WD-ISIS,1987-11-1,2.566666666666666,4502,BA,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",98.61666666666666,35,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID029,1115941,South-Eastern Asia,16,{10.2},10.2
Asia,Indonesia,US-NCSS,1985-9-3,-1.6069444,601131,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,102.3041687,32,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,86P0130,1052211,South-Eastern Asia,8,{51.7},51.7
Asia,Indonesia,WD-ISIS,1981-7-1,-6.833333333333333,3655,3Bwb,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",107.61666666666666,210,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID011,1115821,South-Eastern Asia,162,{5.9},5.9
Asia,Indonesia,WD-ISIS,1987-11-1,2.266666666666667,4902,2C,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",98.66666666666667,158,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID027,1115996,South-Eastern Asia,133,{51.3},51.3
Asia,Indonesia,WD-WISE,1988-12-1,1.433333333333333,42869,Bt1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.18055555555556,50,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0078,1124642,South-Eastern Asia,32,{61.0},61.0
Asia,Indonesia,WD-ISIS,1987-5-1,-7.866666666666667,4918,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.43333333333334,16,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID014,1115999,South-Eastern Asia,5,{34.4},34.4
Asia,Indonesia,WD-WISE,1985-9-1,-1.0861111,28828,Bt5,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.0180588,200,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0043,1121938,South-Eastern Asia,168,{29.0},29.0
Asia,Indonesia,WD-ISIS,1987-11-1,-1.2305557,4659,Bo2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",101.2249985,117,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID035,1115963,South-Eastern Asia,74,{10.1},10.1
Asia,Indonesia,WD-WISE,1980-??-??,-6.7175,28761,B1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.91305555555556,40,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0004,1121927,South-Eastern Asia,24,{83.0},83.0
Asia,Indonesia,WD-WISE,1988-??-??,-0.995833333333333,41634,Btg1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",116.57083333333334,53,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0087,1124433,South-Eastern Asia,28,{24.0},24.0
Asia,Indonesia,WD-WISE,1985-9-1,-0.9166667,36224,Bo2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.7638855,73,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0044,1123376,South-Eastern Asia,40,{4.0},4.0
Asia,Indonesia,WD-ISIS,1989-2-1,-3.633333333333333,4162,Bw1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",128.2,72,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID044,1115894,South-Eastern Asia,45,{4.6},4.6
Asia,Indonesia,WD-WISE,1985-9-1,-6.522222,28810,Bw1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.3527756,41,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0041,1121936,South-Eastern Asia,10,{7.0},7.0
Asia,Indonesia,US-NCSS,1985-9-1,-1.5666667,602976,Bo4,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,102.4166641,125,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,86P0129,1052484,South-Eastern Asia,92,{51.6},51.6
Asia,Indonesia,WD-WISE,1988-??-??,-1.020833333333333,28859,Ah,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",116.56666666666666,3,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0073,1121944,South-Eastern Asia,0,{27.0},27.0
Asia,Indonesia,WD-WISE,1982-2-1,-6.95,36215,Bwb,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",107.56666666666666,169,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0030,1123374,South-Eastern Asia,136,{89.0},89.0
Asia,Indonesia,WD-WISE,1980-9-1,3.766666666666667,42185,Cg1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",97.2,95,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0013,1124529,South-Eastern Asia,30,{67.0},67.0
Asia,Indonesia,WD-WISE,1981-7-1,-4.75,42488,B1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",104.98333333333333,36,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0016,1124576,South-Eastern Asia,11,{9.0},9.0
Asia,Indonesia,WD-WISE,1988-??-??,-0.704166666666667,41630,Btg1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",116.7125,68,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0086,1124432,South-Eastern Asia,38,{38.0},38.0
Asia,Indonesia,WD-WISE,1985-9-1,-1.2305557,28843,BA,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",101.2249985,20,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,1 km - 10 km,ID0048,1121941,South-Eastern Asia,5,{17.0},17.0
Asia,Indonesia,WD-WISE,1983-2-1,-6.733333333333333,42982,2Ab,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",105.31666666666666,35,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0036,1124663,South-Eastern Asia,27,{8.0},8.0
Asia,Indonesia,WD-WISE,1988-??-??,-0.9,36271,E,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",116.55416666666666,28,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0092,1123385,South-Eastern Asia,6,{58.0},58.0
Asia,Indonesia,WD-WISE,1981-10-1,-7.983333333333333,36186,IIIB,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.66666666666667,83,"{""instrument = [ sieve ] sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID0023,1123369,South-Eastern Asia,56,{30.0},30.0
Asia,Indonesia,WD-ISIS,1983-7-1,4.816666666666666,2635,Ah,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",96.75,17,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,ID023,1115671,South-Eastern Asia,0,{54.2},54.2
Asia,Indonesia,US-NCSS,1987-5-1,-6.4333334,602985,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,107.4000015,15,"{""sample pretreatment = [ sieved over 2 mm sieve ] size = [ 0.05 - 2 mm ]""}",False,Over 10 km,87P0486,1052485,South-Eastern Asia,0,{10.7},10.7
