latitude,longitude,pdsi80_85,pdsi85_90,pdsi90_95,pdsi95_00,pdsi00_05,pdsi05_10,pdsi10_15,pdsi15_19
-1.769636194,104.2745966,0.36,0.77,-0.08,0.47,1.26,0.62,0.80,0.00
-1.769636194,104.3643383,0.35,0.75,-0.07,0.45,1.22,0.56,0.71,-0.10
-1.769636194,104.45408,0.33,0.72,-0.08,0.43,1.11,0.46,0.65,-0.20
-1.769636194,105.4423167,0.20,0.42,-0.77,-0.11,-0.14,-0.87,-0.30,-1.23
-1.769636194,105.5320584,0.26,0.42,-0.92,-0.14,-0.24,-0.95,-0.38,-1.34
-1.769636194,105.6220696,0.29,0.44,-1.03,-0.24,-0.32,-1.00,-0.46,-1.42
-1.769636194,105.801553,0.23,0.43,-1.15,-0.33,-0.46,-1.08,-0.60,-1.60
-1.769636194,105.8915641,0.24,0.29,-1.19,-0.40,-0.53,-1.11,-0.64,-1.74
-1.769636194,105.9813058,0.24,0.24,-1.23,-0.42,-0.55,-1.12,-0.67,-1.89
-1.769636194,106.0710475,0.24,0.15,-1.30,-0.43,-0.58,-1.14,-0.69,-1.91
-1.769636194,109.9339829,-0.75,-2.08,-0.57,-0.97,0.15,0.54,0.54,2.00
-1.769636194,110.0237246,-0.73,-2.05,-0.52,-0.98,0.20,0.55,0.59,2.13
-1.769636194,110.1134663,-0.73,-2.04,-0.51,-0.97,0.24,0.59,0.63,2.25
-1.769636194,110.2034775,-0.73,-2.02,-0.48,-0.94,0.30,0.61,0.67,2.44
-1.769636194,110.2932192,-0.71,-1.97,-0.46,-0.93,0.35,0.50,0.69,2.63
-1.769636194,110.3829609,-0.64,-1.93,-0.46,-0.93,0.40,0.47,0.69,2.78
-1.769636194,110.4729721,-0.64,-1.89,-0.42,-0.90,0.41,0.49,0.70,2.86
-1.769636194,110.5627138,-0.58,-1.73,-0.41,-0.89,0.48,0.50,0.69,2.94
-1.769636194,110.6524555,-0.58,-1.70,-0.40,-0.90,0.52,0.49,0.70,3.02
-1.769636194,110.7424667,-0.63,-1.59,-0.32,-0.89,0.55,0.48,0.69,3.09
-1.769636194,110.8322084,-0.59,-1.55,-0.29,-0.88,0.51,0.47,0.74,3.20
-1.769636194,110.9219501,-0.58,-1.48,-0.13,-0.69,0.75,0.49,0.73,3.30
-1.769636194,111.0119613,-0.55,-1.41,-0.09,-0.38,0.80,0.51,0.73,3.37
-1.769636194,111.101703,-0.49,-1.37,-0.04,-0.27,0.96,0.53,0.73,3.47
-1.769636194,111.1914447,-0.50,-1.17,0.04,-0.12,0.99,0.52,0.73,3.55
-1.769636194,111.2814559,-0.49,-1.13,0.05,-0.03,1.04,0.54,0.73,3.65
-1.769636194,111.3711975,-0.50,-1.10,0.06,0.01,1.06,0.55,0.72,3.73
-1.769636194,111.4609392,-0.48,-1.06,0.14,0.24,1.18,0.55,0.71,3.85
-1.769636194,111.5509504,-0.47,-1.03,0.14,0.29,1.23,0.58,0.71,3.91
-1.769636194,111.6406921,-0.47,-1.01,0.13,0.34,1.46,0.59,0.70,3.99
-1.769636194,111.7304338,-0.47,-0.97,0.14,0.39,1.49,0.59,0.76,4.11
-1.769636194,111.820445,-0.43,-0.90,0.14,0.43,1.51,0.61,0.71,4.23
-1.769636194,111.9101867,-0.41,-0.87,0.14,0.48,1.54,0.63,0.70,4.28
-1.769636194,111.9999284,-0.41,-0.84,0.00,0.54,1.55,0.63,0.73,4.39
-1.769636194,112.0899396,-0.38,-0.75,-0.06,0.61,1.50,0.65,0.71,4.47
-1.769636194,112.1796813,-0.36,-0.69,-0.06,0.66,1.40,0.57,0.70,4.51
-1.769636194,112.269423,-0.34,-0.64,-0.06,0.70,1.41,0.53,0.68,4.57
-1.769636194,112.3594342,-0.24,-0.61,-0.07,0.74,1.42,0.71,0.67,4.64
-1.769636194,112.4491759,-0.22,-0.58,-0.07,0.78,1.23,0.70,0.67,4.70
-1.769636194,112.5389176,-0.20,-0.49,0.00,0.92,1.24,0.69,0.66,4.75
-1.769636194,112.6289288,-0.12,-0.32,-0.01,0.99,1.26,0.67,0.66,4.71
-1.769636194,112.7186705,-0.18,-0.27,-0.03,1.04,1.28,0.53,0.57,4.60
-1.769636194,112.8084122,-0.18,-0.23,-0.07,1.04,1.28,0.54,0.57,4.57
-1.769636194,112.8984234,-0.20,-0.19,-0.11,1.04,1.28,0.53,0.54,4.54
-1.769636194,112.9881651,-0.21,-0.13,-0.16,1.02,1.21,0.46,0.62,4.48
-1.769636194,113.0779068,-0.18,-0.01,-0.21,0.99,1.18,0.39,0.51,4.40
-1.769636194,113.1679179,-0.13,0.13,-0.28,1.02,1.10,0.35,0.60,4.22
-1.769636194,113.2576596,-0.15,0.24,-0.30,0.97,1.05,0.33,0.62,4.11
-1.769636194,113.3474013,-0.19,0.39,-0.48,0.86,0.98,0.32,0.62,4.06
-1.769636194,113.4374125,-0.15,0.46,-0.47,0.85,0.90,0.27,0.57,4.10
-1.769636194,113.5271542,-0.13,0.49,-0.50,0.84,0.83,0.25,0.56,4.04
-1.769636194,113.6168959,-0.11,0.56,-0.52,0.82,0.71,0.24,0.56,3.96
-1.769636194,113.7069071,-0.09,0.63,-0.59,0.81,0.63,0.22,0.55,3.89
-1.769636194,113.7966488,-0.23,0.71,-0.73,0.66,0.57,0.17,0.54,3.83
-1.769636194,113.8863905,-0.26,0.79,-0.76,0.60,0.54,0.15,0.56,3.80
-1.769636194,113.9764017,-0.27,0.86,-0.79,0.55,0.51,0.11,0.55,3.76
-1.769636194,114.0661434,-0.28,1.06,-0.86,0.41,0.44,0.07,0.54,3.71
-1.769636194,114.1558851,-0.28,1.14,-0.90,0.33,0.36,0.03,0.53,3.65
-1.769636194,114.2458963,-0.29,1.21,-0.92,0.29,0.31,-0.09,0.52,3.57
-1.769636194,114.335638,-0.30,1.22,-1.01,0.21,0.28,-0.12,0.51,3.52
-1.769636194,114.4253797,-0.30,1.21,-1.06,0.18,0.28,-0.05,0.50,3.50
-1.769636194,114.5153909,-0.31,1.20,-1.23,0.14,0.26,-0.06,0.49,3.34
-1.769636194,114.6051326,-0.31,1.18,-1.29,0.11,0.24,-0.06,0.48,3.31
-1.769636194,114.6948743,-0.32,1.16,-1.36,0.09,0.22,-0.07,0.48,3.28
-1.769636194,114.7848855,-0.32,1.14,-1.42,0.04,0.20,-0.06,0.48,3.26
-1.769636194,114.8746272,-0.33,1.11,-1.48,-0.08,0.15,-0.06,0.49,3.17
-1.769636194,114.9643689,-0.33,1.07,-1.69,-0.20,0.12,-0.07,0.49,3.18
-1.769636194,115.05438,-0.29,1.00,-1.74,-0.21,0.13,-0.07,0.53,3.26
-1.769636194,115.1441217,-0.30,0.98,-1.74,-0.33,0.13,-0.07,0.56,3.29
-1.769636194,115.2338634,-0.34,0.88,-1.72,-0.39,0.14,-0.07,0.56,3.32
-1.769636194,115.3238746,-0.34,0.84,-1.79,-0.49,-0.01,-0.09,0.52,3.34
-1.769636194,115.4136163,-0.31,0.78,-1.93,-0.65,-0.05,-0.06,0.59,3.31
-1.769636194,115.503358,-0.28,0.78,-2.03,-0.77,-0.11,-0.10,0.59,3.28
-1.769636194,115.5933692,-0.27,0.85,-2.10,-0.84,-0.19,-0.07,0.58,3.30
-1.769636194,115.6831109,-0.28,0.76,-2.12,-0.89,-0.22,-0.07,0.61,3.31
-1.769636194,115.7728526,-0.27,0.58,-2.23,-0.94,-0.22,-0.05,0.61,3.32
-1.769636194,115.8628638,-0.23,0.58,-2.32,-0.97,-0.16,-0.08,0.61,3.32
-1.769636194,115.9526055,-0.23,0.55,-2.34,-0.97,-0.09,-0.05,0.60,3.31
-1.769636194,116.0423472,-0.26,0.53,-2.38,-0.98,-0.02,-0.05,0.60,3.15
-1.769636194,116.1323584,-0.26,0.45,-2.44,-1.00,0.02,-0.03,0.60,3.15
-1.769636194,116.2221001,-0.24,0.44,-2.52,-1.23,0.16,-0.02,0.60,3.16
-1.769636194,116.401853,-0.19,0.35,-2.61,-1.24,0.20,0.03,0.64,3.34
-1.679625002,98.88470493,0.24,0.52,-0.83,1.15,1.64,1.75,0.53,4.31
-1.679625002,98.97444663,0.25,0.54,-0.83,1.07,1.63,1.74,0.53,4.29
-1.679625002,99.06418832,0.23,0.55,-0.85,0.99,1.61,1.70,0.51,4.18
-1.679625002,99.15419951,0.23,0.56,-0.86,0.92,1.57,1.71,0.51,4.23
-1.679625002,100.771167,0.21,0.68,-0.88,1.08,1.89,2.13,0.66,2.93
-1.679625002,100.8609087,0.15,0.66,-0.86,1.02,2.07,2.25,0.92,2.93
-1.679625002,100.9506504,0.14,0.63,-0.82,1.10,2.31,2.41,0.98,2.90
-1.679625002,101.0406616,0.07,0.66,-0.87,1.18,2.39,2.62,1.13,2.92
-1.679625002,101.1304033,-0.06,0.66,-0.93,1.05,2.22,2.18,1.02,2.61
-1.679625002,101.220145,-0.08,0.67,-0.92,0.95,2.29,2.17,1.01,2.38
-1.679625002,101.3101562,0.01,0.76,-0.76,1.16,2.50,2.48,1.53,2.49
-1.679625002,101.3998979,-0.01,0.74,-0.78,0.97,2.45,2.38,1.43,2.41
-1.679625002,101.4896396,0.03,0.82,-0.71,1.01,2.54,2.46,1.54,2.38
-1.679625002,101.5796508,0.17,0.87,-0.67,1.05,2.63,2.46,1.46,2.24
-1.679625002,101.6693925,0.21,0.91,-0.48,1.11,2.55,2.39,1.49,2.18
-1.679625002,101.7591342,0.24,0.87,-0.36,1.27,2.52,2.33,1.52,2.21
-1.679625002,101.8491454,0.28,0.82,-0.32,1.26,2.48,2.20,1.51,2.24
-1.679625002,101.9388871,0.33,1.02,-0.30,1.23,2.47,2.18,1.53,2.26
-1.679625002,102.0286288,0.34,0.98,-0.29,1.21,2.45,2.14,1.58,2.30
-1.679625002,102.11864,0.36,0.86,-0.30,1.17,2.42,2.10,1.58,2.34
-1.679625002,102.2083816,0.39,0.80,-0.13,1.13,2.39,1.95,1.66,2.42
-1.679625002,102.2981233,0.41,0.81,-0.08,1.10,2.38,1.93,1.68,2.45
-1.679625002,102.3881345,0.42,0.83,-0.18,0.91,2.34,1.91,1.71,2.47
-1.679625002,102.4778762,0.43,0.84,-0.17,0.88,2.32,1.90,1.73,2.50
-1.679625002,102.5676179,0.43,0.85,-0.26,0.86,2.30,1.88,1.74,2.41
-1.679625002,102.6576291,0.38,0.87,-0.26,0.86,2.28,1.86,1.75,2.33
-1.679625002,102.7473708,0.37,0.88,-0.25,0.83,2.26,1.80,1.76,2.24
-1.679625002,102.8371125,0.23,0.77,-0.15,0.78,2.13,1.57,1.74,2.13
-1.679625002,102.9271237,0.24,0.79,-0.15,0.75,2.09,1.54,1.72,1.98
-1.679625002,103.0168654,0.31,1.00,-0.15,0.72,2.03,1.51,1.70,1.82
-1.679625002,103.1066071,0.32,1.04,-0.15,0.68,2.00,1.48,1.63,1.76
-1.679625002,103.1966183,0.33,0.98,-0.22,0.64,1.97,1.45,1.60,1.59
-1.679625002,103.28636,0.34,0.99,-0.20,0.60,1.94,1.42,1.49,1.48
-1.679625002,103.3761017,0.35,0.99,-0.20,0.67,1.89,1.33,1.40,1.19
-1.679625002,103.4661129,0.36,0.95,-0.19,0.65,1.85,1.29,1.36,1.04
-1.679625002,103.5558546,0.38,0.96,-0.14,0.59,1.82,1.21,1.26,0.94
