system:time_start,PDSI,,Year,Average PDSI
1-Jan-80,-0.32,,1980,-0.337865714
1-Feb-80,-0.41,,1981,0.26285
1-Mar-80,-0.87,,1982,-0.93275
1-Apr-80,-0.11,,1983,-2.309928571
1-May-80,-0.03,,1984,1.459054286
1-Jun-80,0.06,,1985,0.942155714
1-Jul-80,-0.10,,1986,0.976901429
1-Aug-80,0.26,,1987,-1.039968571
1-Sep-80,-0.11,,1988,0.225255714
1-Oct-80,-0.29,,1989,1.635172857
1-Nov-80,-0.26,,1990,0.200291429
1-Dec-80,-0.09,,1991,-1.626325714
1-Jan-81,-0.36,,1992,-1.814714286
1-Feb-81,-0.46,,1993,-1.207254286
1-Mar-81,-0.53,,1994,-1.450124286
1-Apr-81,0.05,,1995,0.132322857
1-May-81,0.72,,1996,1.197882857
1-Jun-81,0.93,,1997,-1.493177143
1-Jul-81,1.47,,1998,-1.543992857
1-Aug-81,0.49,,1999,2.645927143
1-Sep-81,0.91,,2000,2.62875
1-Oct-81,0.73,,2001,2.393557143
1-Nov-81,1.01,,2002,-0.249978571
1-Dec-81,1.39,,2003,0.172095714
1-Jan-82,1.22,,2004,0.043132857
1-Feb-82,1.00,,2005,-0.433552857
1-Mar-82,0.62,,2006,0.26453
1-Apr-82,0.82,,2007,0.146842857
1-May-82,0.44,,2008,1.588757143
1-Jun-82,-0.13,,2009,1.955972857
1-Jul-82,-0.97,,2010,2.420818571
1-Aug-82,-1.92,,2011,2.912385714
1-Sep-82,-2.60,,2012,1.701401429
1-Oct-82,-3.05,,2013,1.091217143
1-Nov-82,-3.53,,2014,-0.36199
1-Dec-82,-3.60,,2015,-1.382067143
1-Jan-83,-3.55,,2016,1.628724286
1-Feb-83,-3.72,,2017,5.736565714
1-Mar-83,-3.80,,2018,1.369478571
1-Apr-83,-3.54,,2019,0.213687143
1-May-83,-2.63,,,
1-Jun-83,-2.26,,,
1-Jul-83,-1.77,,,
1-Aug-83,-1.53,,,
1-Sep-83,-1.30,,,
1-Oct-83,-0.86,,,
1-Nov-83,-0.46,,,
1-Dec-83,-0.25,,,
1-Jan-84,0.16,,,
1-Feb-84,1.05,,,
1-Mar-84,1.47,,,
1-Apr-84,1.76,,,
1-May-84,2.45,,,
1-Jun-84,2.21,,,
1-Jul-84,2.67,,,
1-Aug-84,2.52,,,
1-Sep-84,2.74,,,
1-Oct-84,2.29,,,
1-Nov-84,1.80,,,
1-Dec-84,1.69,,,
1-Jan-85,1.15,,,
1-Feb-85,0.95,,,
1-Mar-85,0.66,,,
1-Apr-85,0.59,,,
1-May-85,0.80,,,
1-Jun-85,0.81,,,
1-Jul-85,0.87,,,
1-Aug-85,0.73,,,
1-Sep-85,0.82,,,
1-Oct-85,1.02,,,
1-Nov-85,1.13,,,
1-Dec-85,1.10,,,
1-Jan-86,1.35,,,
1-Feb-86,0.78,,,
1-Mar-86,1.42,,,
1-Apr-86,1.69,,,
1-May-86,0.73,,,
1-Jun-86,0.79,,,
1-Jul-86,0.88,,,
1-Aug-86,0.57,,,
1-Sep-86,0.55,,,
1-Oct-86,0.77,,,
1-Nov-86,0.79,,,
1-Dec-86,0.03,,,
1-Jan-87,0.41,,,
1-Feb-87,-0.17,,,
1-Mar-87,-0.55,,,
1-Apr-87,-0.95,,,
1-May-87,-1.11,,,
1-Jun-87,-1.35,,,
1-Jul-87,-1.68,,,
1-Aug-87,-1.42,,,
1-Sep-87,-1.67,,,
1-Oct-87,-2.12,,,
1-Nov-87,-2.12,,,
1-Dec-87,-1.78,,,
1-Jan-88,-1.16,,,
1-Feb-88,-0.98,,,
1-Mar-88,-0.11,,,
1-Apr-88,-0.70,,,
1-May-88,-0.49,,,
1-Jun-88,-0.46,,,
1-Jul-88,-0.34,,,
1-Aug-88,0.61,,,
1-Sep-88,0.95,,,
1-Oct-88,1.39,,,
1-Nov-88,1.65,,,
1-Dec-88,1.49,,,
1-Jan-89,1.74,,,
1-Feb-89,1.74,,,
1-Mar-89,1.41,,,
1-Apr-89,1.09,,,
1-May-89,1.27,,,
1-Jun-89,1.32,,,
1-Jul-89,1.55,,,
1-Aug-89,1.77,,,
1-Sep-89,1.89,,,
1-Oct-89,2.09,,,
1-Nov-89,1.83,,,
1-Dec-89,1.55,,,
1-Jan-90,1.95,,,
1-Feb-90,1.47,,,
1-Mar-90,0.66,,,
1-Apr-90,0.21,,,
1-May-90,-0.51,,,
1-Jun-90,-0.71,,,
1-Jul-90,-0.48,,,
1-Aug-90,-0.56,,,
1-Sep-90,-0.79,,,
1-Oct-90,-0.48,,,
1-Nov-90,-1.18,,,
1-Dec-90,-1.23,,,
1-Jan-91,-0.92,,,
1-Feb-91,-1.03,,,
1-Mar-91,-0.78,,,
1-Apr-91,-0.29,,,
1-May-91,-0.62,,,
1-Jun-91,-1.28,,,
1-Jul-91,-1.59,,,
1-Aug-91,-1.93,,,
1-Sep-91,-2.42,,,
1-Oct-91,-2.95,,,
1-Nov-91,-2.93,,,
1-Dec-91,-2.49,,,
1-Jan-92,-2.71,,,
1-Feb-92,-2.73,,,
1-Mar-92,-2.64,,,
1-Apr-92,-2.10,,,
1-May-92,-1.82,,,
1-Jun-92,-1.84,,,
1-Jul-92,-1.59,,,
1-Aug-92,-1.45,,,
1-Sep-92,-1.23,,,
1-Oct-92,-0.89,,,
1-Nov-92,-0.98,,,
1-Dec-92,-0.65,,,
1-Jan-93,-0.67,,,
1-Feb-93,-1.19,,,
1-Mar-93,-1.24,,,
1-Apr-93,-1.02,,,
1-May-93,-0.66,,,
1-Jun-93,-0.68,,,
1-Jul-93,-0.63,,,
1-Aug-93,-0.95,,,
1-Sep-93,-1.35,,,
1-Oct-93,-1.50,,,
1-Nov-93,-1.47,,,
1-Dec-93,-1.36,,,
1-Jan-94,-1.22,,,
1-Feb-94,-1.15,,,
1-Mar-94,-0.03,,,
1-Apr-94,0.19,,,
1-May-94,0.11,,,
1-Jun-94,0.02,,,
1-Jul-94,-0.78,,,
1-Aug-94,-1.22,,,
1-Sep-94,-2.21,,,
1-Oct-94,-2.70,,,
1-Nov-94,-2.86,,,
1-Dec-94,-2.38,,,
1-Jan-95,-1.75,,,
1-Feb-95,-0.55,,,
1-Mar-95,0.11,,,
1-Apr-95,0.63,,,
1-May-95,0.32,,,
1-Jun-95,0.35,,,
1-Jul-95,0.30,,,
1-Aug-95,0.55,,,
1-Sep-95,0.48,,,
1-Oct-95,0.43,,,
1-Nov-95,0.99,,,
1-Dec-95,1.07,,,
1-Jan-96,0.80,,,
1-Feb-96,1.40,,,
1-Mar-96,0.68,,,
1-Apr-96,0.80,,,
1-May-96,0.16,,,
1-Jun-96,0.27,,,
1-Jul-96,-0.13,,,
1-Aug-96,0.62,,,
1-Sep-96,0.45,,,
1-Oct-96,1.38,,,
1-Nov-96,1.53,,,
1-Dec-96,1.79,,,
1-Jan-97,0.98,,,
1-Feb-97,1.17,,,
1-Mar-97,0.37,,,
1-Apr-97,-0.18,,,
1-May-97,-1.29,,,
1-Jun-97,-2.27,,,
1-Jul-97,-2.50,,,
1-Aug-97,-3.11,,,
1-Sep-97,-3.63,,,
1-Oct-97,-4.08,,,
1-Nov-97,-4.28,,,
1-Dec-97,-4.43,,,
1-Jan-98,-4.73,,,
1-Feb-98,-4.68,,,
1-Mar-98,-4.38,,,
1-Apr-98,-4.09,,,
1-May-98,-3.51,,,
1-Jun-98,-2.51,,,
1-Jul-98,-1.48,,,
1-Aug-98,-0.01,,,
1-Sep-98,1.07,,,
1-Oct-98,1.92,,,
1-Nov-98,2.58,,,
1-Dec-98,2.57,,,
1-Jan-99,2.79,,,
1-Feb-99,2.98,,,
1-Mar-99,2.92,,,
1-Apr-99,2.61,,,
1-May-99,2.33,,,
1-Jun-99,2.28,,,
1-Jul-99,2.28,,,
1-Aug-99,2.16,,,
1-Sep-99,1.87,,,
1-Oct-99,2.41,,,
1-Nov-99,2.46,,,
1-Dec-99,2.35,,,
1-Jan-00,2.62,,,
1-Feb-00,2.45,,,
1-Mar-00,2.25,,,
1-Apr-00,2.38,,,
1-May-00,1.97,,,
1-Jun-00,2.67,,,
1-Jul-00,2.46,,,
1-Aug-00,2.39,,,
1-Sep-00,2.12,,,
1-Oct-00,2.64,,,
1-Nov-00,3.21,,,
1-Dec-00,2.86,,,
1-Jan-01,3.19,,,
1-Feb-01,3.04,,,
1-Mar-01,3.11,,,
1-Apr-01,3.25,,,
1-May-01,2.13,,,
1-Jun-01,1.96,,,
1-Jul-01,1.29,,,
1-Aug-01,0.66,,,
1-Sep-01,0.68,,,
1-Oct-01,1.39,,,
1-Nov-01,1.54,,,
1-Dec-01,1.24,,,
1-Jan-02,1.38,,,
1-Feb-02,0.93,,,
1-Mar-02,0.86,,,
1-Apr-02,0.59,,,
1-May-02,-0.03,,,
1-Jun-02,-0.23,,,
1-Jul-02,-0.65,,,
1-Aug-02,-1.16,,,
1-Sep-02,-1.51,,,
1-Oct-02,-2.06,,,
1-Nov-02,-1.92,,,
1-Dec-02,-1.53,,,
1-Jan-03,-1.15,,,
1-Feb-03,-0.43,,,
1-Mar-03,0.12,,,
1-Apr-03,0.43,,,
1-May-03,-0.12,,,
1-Jun-03,-0.63,,,
1-Jul-03,-0.47,,,
1-Aug-03,0.05,,,
1-Sep-03,-0.03,,,
1-Oct-03,0.55,,,
1-Nov-03,0.53,,,
1-Dec-03,1.14,,,
1-Jan-04,1.37,,,
1-Feb-04,1.12,,,
1-Mar-04,1.17,,,
1-Apr-04,0.69,,,
1-May-04,0.62,,,
1-Jun-04,-0.10,,,
1-Jul-04,-0.10,,,
1-Aug-04,-1.12,,,
1-Sep-04,-1.25,,,
1-Oct-04,-1.56,,,
1-Nov-04,-1.41,,,
1-Dec-04,-1.06,,,
1-Jan-05,-1.09,,,
1-Feb-05,-1.40,,,
1-Mar-05,-1.27,,,
1-Apr-05,-0.77,,,
1-May-05,-0.70,,,
1-Jun-05,-0.74,,,
1-Jul-05,-0.48,,,
1-Aug-05,-0.46,,,
1-Sep-05,-0.68,,,
1-Oct-05,0.09,,,
1-Nov-05,0.39,,,
1-Dec-05,1.01,,,
1-Jan-06,1.14,,,
1-Feb-06,1.77,,,
1-Mar-06,1.63,,,
1-Apr-06,1.90,,,
1-May-06,1.46,,,
1-Jun-06,2.15,,,
1-Jul-06,1.45,,,
1-Aug-06,0.67,,,
1-Sep-06,-0.01,,,
1-Oct-06,-1.17,,,
1-Nov-06,-1.81,,,
1-Dec-06,-1.62,,,
1-Jan-07,-1.33,,,
1-Feb-07,-0.63,,,
1-Mar-07,-0.33,,,
1-Apr-07,0.35,,,
1-May-07,0.70,,,
1-Jun-07,1.55,,,
1-Jul-07,1.91,,,
1-Aug-07,1.82,,,
1-Sep-07,1.48,,,
1-Oct-07,1.14,,,
1-Nov-07,0.86,,,
1-Dec-07,0.97,,,
1-Jan-08,0.33,,,
1-Feb-08,0.60,,,
1-Mar-08,1.25,,,
1-Apr-08,1.35,,,
1-May-08,0.57,,,
1-Jun-08,1.08,,,
1-Jul-08,1.31,,,
1-Aug-08,1.60,,,
1-Sep-08,1.56,,,
1-Oct-08,2.01,,,
1-Nov-08,2.60,,,
1-Dec-08,2.99,,,
1-Jan-09,3.04,,,
1-Feb-09,3.15,,,
1-Mar-09,3.39,,,
1-Apr-09,3.22,,,
1-May-09,2.37,,,
1-Jun-09,1.65,,,
1-Jul-09,1.22,,,
1-Aug-09,1.00,,,
1-Sep-09,0.44,,,
1-Oct-09,0.17,,,
1-Nov-09,0.29,,,
1-Dec-09,0.44,,,
1-Jan-10,0.56,,,
1-Feb-10,0.30,,,
1-Mar-10,0.81,,,
1-Apr-10,1.29,,,
1-May-10,1.90,,,
1-Jun-10,2.78,,,
1-Jul-10,3.45,,,
1-Aug-10,3.99,,,
1-Sep-10,4.78,,,
1-Oct-10,4.80,,,
1-Nov-10,4.79,,,
1-Dec-10,4.41,,,
1-Jan-11,4.01,,,
1-Feb-11,3.70,,,
1-Mar-11,3.44,,,
1-Apr-11,3.32,,,
1-May-11,3.00,,,
1-Jun-11,3.06,,,
1-Jul-11,2.53,,,
1-Aug-11,1.97,,,
1-Sep-11,1.48,,,
1-Oct-11,1.75,,,
1-Nov-11,1.82,,,
1-Dec-11,2.35,,,
1-Jan-12,2.00,,,
1-Feb-12,2.12,,,
1-Mar-12,2.53,,,
1-Apr-12,2.55,,,
1-May-12,2.63,,,
1-Jun-12,2.01,,,
1-Jul-12,1.75,,,
1-Aug-12,1.36,,,
1-Sep-12,0.79,,,
1-Oct-12,0.65,,,
1-Nov-12,1.07,,,
1-Dec-12,0.98,,,
1-Jan-13,0.61,,,
1-Feb-13,1.21,,,
1-Mar-13,0.97,,,
1-Apr-13,0.68,,,
1-May-13,0.79,,,
