pearson,r2,crop
0.997056329,0.979864245,Barley
0.990286329,0.968058477,Cassava
0.999342656,0.92479344,Maize
0.99369003,0.945394929,Millet
0.999612691,0.974047361,Oilpalm
0.998433468,0.989664018,Peanut
0.991061305,0.972938536,Potato
0.996462896,0.985563113,Rapeseed
0.998695948,0.990150956,Rice
0.992990241,0.96740875,Rye
0.989235177,0.965203657,Sorghum
0.990845776,0.954388242,Soybean
0.998510277,0.984445101,Sugarbeet
0.999372102,0.994581518,Sugarcane
0.995877944,0.88259482,Sunflower
0.999605406,0.95089809,Wheat
0.995692411,0.964374703,
