pearson,r2,crop
0.998757001,0.992243219,Barley
0.999036212,0.975729343,Cassava
0.99934225,0.941246723,Cotton
0.998074361,0.967677222,Maize
0.997508393,0.940100042,Millet
0.999779173,0.990608941,Oilpalm
0.998813879,0.977137208,Peanut
0.998971156,0.976875038,Potato
0.99981043,0.990779438,Rapeseed
0.998483053,0.887635837,Rice
0.99935134,0.988256165,Rye
0.998376194,0.989844411,Sorghum
0.992735428,0.972667459,Soybean
0.997162448,0.986688129,Sugarbeet
0.99980745,0.962271982,Sugarcane
0.997924905,0.961657734,Sunflower
0.998576516,0.960969246,Wheat
0.998382952,0.968375773,
