Crop,Pearson_Correlation,RMSE,MAE
Barley,0.526238461,0.247128519,0.136900383
Cassava,0.762554349,0.16927209,0.08020665
Cotton,0.7359591,0.194008153,0.109452068
Maize,0.514538289,0.264776588,0.161524853
Millet,0.474955516,0.233865689,0.124936533
Oilpalm,0.592791163,0.11755973,0.037431072
Peanut,0.688185725,0.185750742,0.103154956
Potato,0.530776818,0.25184664,0.153852631
Rapeseed,0.512252837,0.259867929,0.143036407
Rice,0.455800297,0.265582379,0.163470855
Rye,0.650353719,0.231112825,0.118739282
Sorghum,0.648807589,0.244010375,0.142443097
Soybean,0.647678812,0.229497811,0.138765111
Sugarbeet,0.381071935,0.216740271,0.109083316
Sugarcane,0.525500436,0.205350192,0.098568329
Sunflower,0.507897063,0.28268851,0.180680513
Wheat,0.565383246,0.253460781,0.144750813
,0.57180855,0.226618778,0.126293933
