species,Longitude,Latitude,label
Sugarcane,-50.11011729357352,-21.89543245801052,1
Sugarcane,-48.44735053313877,-19.85251469307326,1
Sugarcane,-51.51288786072927,-21.320578281024247,1
Sugarcane,-57.50234708567067,-14.86283955535526,1
Sugarcane,-52.45040659316738,-22.63254101874481,1
Sugarcane,-46.36103857466031,-16.4524789623253,1
Sugarcane,-47.78697699826189,-20.86178850296895,1
Sugarcane,-48.57091924683962,-20.94102305197365,1
Sugarcane,-48.82333128090353,-20.06481530599915,1
Sugarcane,-51.0845224748307,-21.2834679269608,1
Sugarcane,-48.63193955223856,-22.363145783344613,1
Sugarcane,-49.6718802572806,-22.84124516277249,1
Sugarcane,-52.22580800100436,-17.88703365515745,1
Sugarcane,-35.067505577659674,-8.181266557399272,1
Sugarcane,-50.17974515184095,-21.481135355027643,1
Sugarcane,-48.45742593448057,-21.357058066422027,1
Sugarcane,-48.36013922539419,-23.128054142241588,1
Sugarcane,-37.18385151020848,-10.67607579002095,1
Sugarcane,-59.185478803518365,-14.20448172624712,1
Sugarcane,-49.49478815710027,-18.464215757351543,1
Sugarcane,-48.33640593945779,-22.057585103189485,1
Sugarcane,-49.867247130177205,-21.406163555730863,1
Sugarcane,-57.001894573279735,-14.756284586297893,1
Sugarcane,-51.47735584346672,-22.87363531081196,1
Sugarcane,-52.06119513154293,-22.511824832436663,1
Sugarcane,-47.58541410428978,-21.0964805447136,1
Sugarcane,-49.7473321673857,-18.77574559650983,1
Sugarcane,-53.0998372812435,-21.84702328146096,1
Sugarcane,-50.501476302205525,-22.29423054281756,1
Sugarcane,-47.8511767954416,-21.892740207023028,1
Sugarcane,-49.49434038725867,-20.4285817219002,1
Sugarcane,-56.33600000850646,-14.415608363393508,1
Sugarcane,-48.60378871967426,-20.251991685899768,1
Sugarcane,-50.46321048025849,-18.05957677620428,1
Sugarcane,-50.26523671271815,-17.333185414486003,1
Sugarcane,-50.98045924025267,-20.948234564385128,1
Sugarcane,-48.18589402851284,-19.44373816816063,1
