scenario_name,model_name,fit_status,selection_strategy,cv_splits,cv_accuracy_mean,cv_precision_macro_mean,cv_recall_macro_mean,cv_f1_macro_mean,cv_f1_weighted_mean,cv_accuracy_std,cv_f1_macro_std,selected_for_tuning,is_scenario_winner,is_final_selected,tuned_cv_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,best_params_json,error_message
zone_mean_only,catboost,success,stratified_group_kfold,3,0.6487179487179487,0.48333333333333334,0.5308641975308642,0.49722222222222223,0.6352564102564102,0.14545491901213164,0.2713421147000158,True,True,True,0.5516917293233083,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,"{""model__estimator__learning_rate"": 0.03, ""model__estimator__l2_leaf_reg"": 3, ""model__estimator__iterations"": 60, ""model__estimator__depth"": 4}",
zone_mean_only,extra_trees,success,stratified_group_kfold,3,0.6743589743589743,0.4291666666666667,0.5185185185185185,0.45383597883597887,0.6099969474969474,0.18054632556188666,0.2643806996264762,True,False,False,,,,,,,,
zone_mean_only,lightgbm,success,stratified_group_kfold,3,0.514102564102564,0.3814814814814815,0.4645061728395061,0.38353174603174606,0.5061813186813188,0.19051299306338598,0.20407573136466567,False,False,False,,,,,,,,
zone_mean_only,random_forest,success,stratified_group_kfold,3,0.6230769230769231,0.3611111111111111,0.419753086419753,0.3768518518518518,0.6032051282051282,0.11111768553856644,0.10797265060404715,False,False,False,,,,,,,,
zone_mean_only,logistic_regression,success,stratified_group_kfold,3,0.5814102564102565,0.3333333333333333,0.3101851851851852,0.31065162907268173,0.5796799691536534,0.16147994463115292,0.07116183763530541,False,False,False,,,,,,,,
zone_mean_only,xgboost,success,stratified_group_kfold,3,0.4467948717948718,0.22731481481481483,0.2839506172839506,0.2404100529100529,0.40780677655677655,0.22763000129265568,0.15701857737629468,False,False,False,,,,,,,,
zone_mean_plus_variability,lightgbm,success,stratified_group_kfold,3,0.5974358974358974,0.4925925925925925,0.5200617283950617,0.44047619047619047,0.5950702075702076,0.07853021964673618,0.16609880584489167,True,True,False,0.44047619047619047,0.7142857142857143,0.41666666666666663,0.5,0.45,0.6571428571428571,"{""model__subsample"": 0.8, ""model__num_leaves"": 7, ""model__n_estimators"": 40, ""model__min_child_samples"": 3, ""model__learning_rate"": 0.03, ""model__colsample_bytree"": 1.0}",
zone_mean_plus_variability,xgboost,success,stratified_group_kfold,3,0.5974358974358974,0.4166666666666667,0.5061728395061728,0.41917989417989415,0.5748778998778998,0.07853021964673618,0.18872384338619283,True,False,False,,,,,,,,
zone_mean_plus_variability,extra_trees,success,stratified_group_kfold,3,0.6487179487179487,0.32916666666666666,0.43209876543209874,0.36767040149393093,0.5754821159232923,0.14545491901213164,0.14581406338167185,False,False,False,,,,,,,,
zone_mean_plus_variability,catboost,success,stratified_group_kfold,3,0.5814102564102565,0.3333333333333333,0.3919753086419753,0.3435185185185185,0.5587606837606837,0.16147994463115292,0.12066203979033703,False,False,False,,,,,,,,
zone_mean_plus_variability,logistic_regression,success,stratified_group_kfold,3,0.5974358974358974,0.3145833333333333,0.34259259259259256,0.3138655462184874,0.5816203404438699,0.07853021964673618,0.045223566970997574,False,False,False,,,,,,,,
zone_mean_plus_variability,random_forest,success,stratified_group_kfold,3,0.5044871794871795,0.3009259259259259,0.35493827160493824,0.28226495726495726,0.47214003944773175,0.09494539764443194,0.06412464007332569,False,False,False,,,,,,,,
