feature_name,dtype,non_null_count,missing_ratio,unique_count,is_target,is_metadata,aggregation_family,mean,std,min,max,top_value,top_ratio
zone_id,string,33,0.0,33,0,1,base,,,,,zone_01_02,0.030303030303030304
base_context_id,int64,33,0.0,11,0,1,base,9.696969696969697,3.892981252241402,1.0,16.0,,
source_dataset,str,33,0.0,1,0,1,base,,,,,mendeley_8v757rr4st_crop_recommendation_soil_weather,1.0
sample_count,int64,33,0.0,23,0,1,count,31.09090909090909,19.30246687013676,8.0,62.0,,
context_sample_count,int64,33,0.0,11,0,1,count,367.42424242424244,181.6662513895726,17.0,682.0,,
context_cluster_count,int64,33,0.0,10,0,1,count,14.606060606060606,7.219502207300176,1.0,27.0,,
label_nunique,int64,33,0.0,8,0,0,nunique,4.212121212121212,1.9163372575954591,1.0,8.0,,
zone_label_dominance_ratio,float64,33,0.0,26,0,0,base,0.7266914206273343,0.12217209276437374,0.6,1.0,,
sample_count_risk_flag,str,33,0.0,1,0,1,base,,,,,ok,1.0
soil_color_mode,str,33,0.0,3,0,0,mode,,,,,red,0.45454545454545453
soil_color_nunique,int64,33,0.0,6,0,0,nunique,3.8181818181818183,1.4885929903466195,2.0,8.0,,
soil_color_dominant_ratio,float64,33,0.0,26,0,0,dominant_ratio,0.6319313010313786,0.17047978732971952,0.2727272727272727,0.9117647058823529,,
soil_color_missing_ratio,float64,33,0.0,1,0,0,missing_ratio,0.0,0.0,0.0,0.0,,
ph_mean,float64,33,0.0,33,0,0,mean,5.866990285161793,0.6874001435370808,4.976470588235294,7.707142857142857,,
ph_std,float64,33,0.0,33,0,0,std,0.27979615284413367,0.11255920378286167,0.015406577730392928,0.5332976870701107,,
ph_min,float64,33,0.0,25,0,0,min,5.402121212121212,0.6804720676475154,4.3,7.1,,
ph_max,float64,33,0.0,26,0,0,max,6.44,0.875963754957932,5.3,8.5,,
ph_median,float64,33,0.0,24,0,0,median,5.832878787878787,0.6668677135298161,5.0,7.699999999999999,,
ph_count,int64,33,0.0,26,0,0,count,27.333333333333332,16.792235308816593,7.0,57.0,,
ph_range,float64,33,0.0,27,0,0,range,1.0378787878787878,0.4684266056155274,0.04999999999999982,2.42,,
ph_cv,float64,33,0.0,33,0,0,cv,0.047048145531973,0.015926948243765223,0.002653039215565818,0.08424846781800459,,
ph_missing_ratio,float64,33,0.0,1,0,0,missing_ratio,0.0,0.0,0.0,0.0,,
