iter	MultiClass
0	2.547047204
1	2.526034257
2	2.506631626
3	2.497374261
4	2.480236274
5	2.457896203
6	2.440189318
7	2.423924971
8	2.407944575
9	2.393958603
10	2.380930525
11	2.362114077
12	2.344648182
13	2.325308663
14	2.308874976
15	2.28807309
16	2.265549384
17	2.245152549
18	2.225886659
19	2.206627876
20	2.190214269
21	2.171057062
22	2.152753584
23	2.135285656
24	2.113204488
25	2.098605185
26	2.07931119
27	2.058373886
28	2.039195359
29	2.023180282
30	2.00668492
31	1.993924489
32	1.972596933
33	1.955772818
34	1.939141629
35	1.920348877
36	1.905010376
37	1.888892913
38	1.874700767
39	1.857408963
40	1.838019531
41	1.822674004
42	1.809875551
43	1.799305097
44	1.786115524
45	1.769147886
46	1.756409325
47	1.742041116
48	1.725316112
49	1.708077677
50	1.692953205
51	1.683563588
52	1.672441087
53	1.657772241
54	1.647636226
55	1.632116449
56	1.616244136
57	1.601320425
58	1.586966147
59	1.571713458
60	1.556736048
61	1.545006739
62	1.530813273
63	1.51629098
64	1.501070402
65	1.488428097
66	1.473970801
67	1.464537755
68	1.450978512
69	1.436659541
70	1.423500561
71	1.409922594
72	1.399109347
73	1.387630831
74	1.374852973
75	1.36184002
76	1.347984212
77	1.338866965
78	1.328400759
79	1.316491104
80	1.303836695
81	1.291072263
82	1.27853849
83	1.268699004
84	1.256860744
85	1.245239296
86	1.234095427
87	1.22064338
88	1.210004861
89	1.199282925
90	1.188865575
91	1.177489717
92	1.166741204
93	1.155277753
94	1.144262482
95	1.133329491
96	1.122328406
97	1.11553744
98	1.106039681
99	1.09903335
100	1.088865931
101	1.079893617
102	1.070582629
103	1.061521518
104	1.054433983
105	1.047160345
106	1.038372757
107	1.02918441
108	1.018343493
109	1.009464974
110	1.000941857
111	0.9912248767
112	0.9826844457
113	0.9729414477
114	0.9659268347
115	0.957187768
116	0.948707284
117	0.9393832502
118	0.9315130445
119	0.9229843251
