iter	Passed	Remaining
0	31	3743
1	43	2540
2	65	2563
3	83	2424
4	101	2325
5	120	2282
6	128	2070
7	132	1857
8	144	1785
9	161	1775
10	170	1693
11	180	1622
12	194	1601
13	209	1583
14	217	1520
15	227	1476
16	243	1478
17	254	1442
18	263	1401
19	279	1396
20	291	1376
21	305	1360
22	321	1356
23	331	1325
24	355	1351
25	368	1331
26	391	1348
27	405	1333
28	430	1350
29	438	1314
30	444	1276
31	451	1240
32	461	1215
33	477	1207
34	492	1195
35	498	1162
36	508	1140
37	522	1126
38	531	1103
39	536	1073
40	542	1045
41	548	1017
42	559	1001
43	568	982
44	581	968
45	589	948
46	603	937
47	617	925
48	625	906
49	634	888
50	650	879
51	664	868
52	672	850
53	680	832
54	694	820
55	712	813
56	720	796
57	729	779
58	744	769
59	758	758
60	767	742
61	771	721
62	799	723
63	809	707
64	821	695
65	838	685
66	846	669
67	857	655
68	874	646
69	884	632
70	899	620
71	913	608
72	925	596
73	942	585
74	951	570
75	963	557
76	979	546
77	988	532
78	1002	520
79	1018	509
80	1027	494
81	1036	480
82	1051	468
83	1066	457
84	1074	442
85	1089	430
86	1109	420
87	1119	407
88	1134	395
89	1154	384
90	1165	371
91	1180	359
92	1196	347
93	1205	333
94	1218	320
95	1235	308
96	1244	294
97	1252	281
98	1266	268
99	1281	256
100	1289	242
101	1298	229
102	1314	216
103	1326	204
104	1339	191
105	1355	179
106	1365	165
107	1383	153
108	1395	140
109	1404	127
110	1418	115
111	1432	102
112	1442	89
113	1459	76
114	1470	63
115	1481	51
116	1496	38
117	1507	25
118	1521	12
119	1536	0
