zone_id,base_context_id,source_dataset,sample_count,context_sample_count,context_cluster_count,label_nunique,zone_label_dominance_ratio,sample_count_risk_flag,soil_color_mode,soil_color_nunique,soil_color_dominant_ratio,soil_color_missing_ratio,ph_mean,ph_std,ph_min,ph_max,ph_median,ph_count,ph_range,ph_cv,ph_missing_ratio,nitrogen_mean,nitrogen_std,nitrogen_min,nitrogen_max,nitrogen_median,nitrogen_count,nitrogen_range,nitrogen_cv,nitrogen_missing_ratio,phosphorus_mean,phosphorus_std,phosphorus_min,phosphorus_max,phosphorus_median,phosphorus_count,phosphorus_range,phosphorus_cv,phosphorus_missing_ratio,potassium_mean,potassium_std,potassium_min,potassium_max,potassium_median,potassium_count,potassium_range,potassium_cv,potassium_missing_ratio,zinc_mean,zinc_std,zinc_min,zinc_max,zinc_median,zinc_count,zinc_range,zinc_cv,zinc_missing_ratio,sulfur_mean,sulfur_std,sulfur_min,sulfur_max,sulfur_median,sulfur_count,sulfur_range,sulfur_cv,sulfur_missing_ratio,soil_moisture_surface_mean,soil_moisture_surface_std,soil_moisture_surface_min,soil_moisture_surface_max,soil_moisture_surface_median,soil_moisture_surface_count,soil_moisture_surface_range,soil_moisture_surface_cv,soil_moisture_surface_missing_ratio,wind_speed_10m_mean,wind_speed_10m_std,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_median,wind_speed_10m_count,wind_speed_10m_range,wind_speed_10m_cv,wind_speed_10m_missing_ratio,specific_humidity_mean_mean,specific_humidity_mean_std,specific_humidity_mean_min,specific_humidity_mean_max,specific_humidity_mean_median,specific_humidity_mean_count,specific_humidity_mean_range,specific_humidity_mean_cv,specific_humidity_mean_missing_ratio,temperature_mean_mean,temperature_mean_std,temperature_mean_min,temperature_mean_max,temperature_mean_median,temperature_mean_count,temperature_mean_range,temperature_mean_cv,temperature_mean_missing_ratio,temperature_seasonal_range_mean,temperature_seasonal_range_std,temperature_seasonal_range_min,temperature_seasonal_range_max,temperature_seasonal_range_median,temperature_seasonal_range_count,temperature_seasonal_range_range,temperature_seasonal_range_cv,temperature_seasonal_range_missing_ratio,rainfall_mean_mean,rainfall_mean_std,rainfall_mean_min,rainfall_mean_max,rainfall_mean_median,rainfall_mean_count,rainfall_mean_range,rainfall_mean_cv,rainfall_mean_missing_ratio,rainfall_total_proxy_mean,rainfall_total_proxy_std,rainfall_total_proxy_min,rainfall_total_proxy_max,rainfall_total_proxy_median,rainfall_total_proxy_count,rainfall_total_proxy_range,rainfall_total_proxy_cv,rainfall_total_proxy_missing_ratio,cloud_amount_mean,cloud_amount_std,cloud_amount_min,cloud_amount_max,cloud_amount_median,cloud_amount_count,cloud_amount_range,cloud_amount_cv,cloud_amount_missing_ratio,surface_pressure_mean,surface_pressure_std,surface_pressure_min,surface_pressure_max,surface_pressure_median,surface_pressure_count,surface_pressure_range,surface_pressure_cv,surface_pressure_missing_ratio,zone_target
zone_01_02,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,20,236,9,3,0.7,ok,black,2,0.7333333333333333,0.0,6.762666666666666,0.3069310454591827,6.4,7.37,6.7,15,0.9699999999999998,0.04538609702176401,0.0,0.19176666666666667,0.035837822531642805,0.1417,0.2518,0.1947,15,0.11010000000000003,0.18688243976173893,0.0,8.579,9.290769451450187,2.0,34.0,6.0,15,32.0,1.0829664822765108,0.0,385.5928,99.19948375672125,208.6,537.0,387.0,15,328.4,0.2572648756841965,0.0,1.5076666666666665,0.715503984881253,0.8,3.63,1.4,15,2.83,0.4745770406022019,0.0,8.99,6.200862843185615,4.0,24.68,8.0,15,20.68,0.6897511505212031,0.0,0.65,0.0,0.65,0.65,0.65,15,0.0,0.0,0.0,75.69,0.0,75.69,75.69,75.69,15,0.0,0.0,0.0,8.59500000075,0.0,8.59500000075,8.59500000075,8.59500000075,15,0.0,0.0,0.0,13.937083334125001,0.0,13.937083334125001,13.937083334125001,13.937083334125001,15,0.0,0.0,0.0,23.563333337,0.0,23.563333337,23.563333337,23.563333337,15,0.0,0.0,0.0,3.2883333332499998,0.0,3.2883333332499998,3.2883333332499998,3.2883333332499998,15,0.0,0.0,0.0,13.153333332999999,0.0,13.153333332999999,13.153333332999999,13.153333332999999,15,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,15,0.0,0.0,0.0,74.17,0.0,74.17,74.17,74.17,15,0.0,0.0,0.0,Wheat
zone_01_03,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,58,236,9,3,0.603448275862069,ok,brown,6,0.40384615384615385,0.0,5.715769230769231,0.2042619056346881,5.28,6.35,5.705,52,1.0699999999999994,0.03573655572641067,0.0,0.24653653846153847,0.025634780515864205,0.1679,0.2992,0.2518,52,0.13130000000000003,0.10397963999913717,0.0,13.815134615384617,15.138169688920224,4.267,85.046,8.804,52,80.77900000000001,1.0957670779452462,0.0,223.3056346153846,93.83754684476928,55.537,507.187,205.185,52,451.65000000000003,0.4202202376415286,0.0,3.249769230769231,1.1618391373144026,1.653,7.332,2.9775,52,5.679,0.35751435096189627,0.0,21.01784615384615,2.493582165296133,16.39,26.674,21.345,52,10.283999999999999,0.11864118459349467,0.0,0.6500000000000001,0.0,0.65,0.65,0.65,52,0.0,0.0,0.0,75.69,0.0,75.69,75.69,75.69,52,0.0,0.0,0.0,8.59500000075,0.0,8.59500000075,8.59500000075,8.59500000075,52,0.0,0.0,0.0,13.937083334125001,0.0,13.937083334125001,13.937083334125001,13.937083334125001,52,0.0,0.0,0.0,23.563333337,0.0,23.563333337,23.563333337,23.563333337,52,0.0,0.0,0.0,3.2883333332499998,0.0,3.2883333332499998,3.2883333332499998,3.2883333332499998,52,0.0,0.0,0.0,13.153333332999999,0.0,13.153333332999999,13.153333332999999,13.153333332999999,52,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,52,0.0,0.0,0.0,74.17,0.0,74.17,74.17,74.17,52,0.0,0.0,0.0,Barley
zone_01_08,1,mendeley_8v757rr4st_crop_recommendation_soil_weather,21,236,9,2,0.9523809523809523,ok,brown,4,0.5714285714285714,0.0,5.854285714285714,0.26169775368870524,5.5,6.4,5.8,21,0.9000000000000004,0.04470191009811949,0.0,0.3439380952380952,0.04174025007340607,0.286,0.4366,0.3411,21,0.1506,0.12135977564366893,0.0,10.156190476190476,8.193430585652433,3.0,34.0,7.0,21,31.0,0.806742508902387,0.0,259.32233333333335,111.92192535126142,60.769,445.0,258.0,21,384.231,0.43159385430716757,0.0,3.2325238095238094,1.2120040271817425,1.2,6.3,3.0,21,5.1,0.37494047951352466,0.0,9.65952380952381,2.449368237302175,6.0,14.0,10.0,21,8.0,0.2535702883083346,0.0,0.65,0.0,0.65,0.65,0.65,21,0.0,0.0,0.0,75.69,0.0,75.69,75.69,75.69,21,0.0,0.0,0.0,8.59500000075,0.0,8.59500000075,8.59500000075,8.59500000075,21,0.0,0.0,0.0,13.937083334125001,0.0,13.937083334125001,13.937083334125001,13.937083334125001,21,0.0,0.0,0.0,23.563333337,0.0,23.563333337,23.563333337,23.563333337,21,0.0,0.0,0.0,3.2883333332499998,0.0,3.2883333332499998,3.2883333332499998,3.2883333332499998,21,0.0,0.0,0.0,13.153333332999999,0.0,13.153333332999999,13.153333332999999,13.153333332999999,21,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,21,0.0,0.0,0.0,74.17,0.0,74.17,74.17,74.17,21,0.0,0.0,0.0,Barley
zone_02_05,2,mendeley_8v757rr4st_crop_recommendation_soil_weather,59,286,11,6,0.711864406779661,ok,brown,4,0.47368421052631576,0.0,5.248771929824562,0.27845921845191646,4.3,5.91,5.2,57,1.6100000000000003,0.05305226101931692,0.0,0.1684196742105263,0.026202442230902748,0.1094,0.2289,0.1623,57,0.1195,0.15557827405692182,0.0,4.776140350877193,2.527142481698849,1.0,12.0,4.0,57,11.0,0.5291181364121157,0.0,296.38438596491227,98.48882516410436,85.0,501.0,288.0,57,416.0,0.3323009909697606,0.0,1.5926315789473684,0.6077080076454405,0.7,4.0,1.5,57,3.3,0.3815747569485582,0.0,13.535438596491227,2.0653986731858804,9.0,17.0,13.0,57,8.0,0.15259192810503316,0.0,0.6300000000000001,0.0,0.63,0.63,0.63,57,0.0,0.0,0.0,88.31,0.0,88.31,88.31,88.31,57,0.0,0.0,0.0,9.3258333335,0.0,9.3258333335,9.3258333335,9.3258333335,57,0.0,0.0,0.0,17.892500000374998,0.0,17.892500000374998,17.892500000374998,17.892500000374998,57,0.0,0.0,0.0,21.456666667,0.0,21.456666667,21.456666667,21.456666667,57,0.0,0.0,0.0,4.47583333425,0.0,4.47583333425,4.47583333425,4.47583333425,57,0.0,0.0,0.0,17.903333337,0.0,17.903333337,17.903333337,17.903333337,57,0.0,0.0,0.0,59.11,0.0,59.11,59.11,59.11,57,0.0,0.0,0.0,77.15,0.0,77.15,77.15,77.15,57,0.0,0.0,0.0,Teff
zone_06_11,6,mendeley_8v757rr4st_crop_recommendation_soil_weather,24,457,18,5,0.7083333333333334,ok,black,2,0.5,0.0,6.600454545454546,0.4758398817602337,5.8,7.3,6.65,22,1.5,0.0720919867689907,0.0,0.15580454545454545,0.03444659741677069,0.0742,0.2118,0.15184999999999998,22,0.1376,0.22108852675816298,0.0,68.16818181818182,44.46703847596004,4.0,138.0,77.0,22,134.0,0.6523136937194911,0.0,664.5909090909091,137.1216557836452,407.0,933.0,632.5,22,526.0,0.20632490440053308,0.0,2.5413636363636365,0.43909317217740224,1.7,3.6,2.5,22,1.9000000000000001,0.17277856891258897,0.0,8.101818181818182,1.8331540250763656,5.0,12.0,8.0,22,7.0,0.22626452284380635,0.0,0.7400000000000001,0.0,0.74,0.74,0.74,22,0.0,0.0,0.0,88.38,0.0,88.38,88.38,88.38,22,0.0,0.0,0.0,9.474999999,0.0,9.474999999,9.474999999,9.474999999,22,0.0,0.0,0.0,16.695000000375,0.0,16.695000000375,16.695000000375,16.695000000375,22,0.0,0.0,0.0,22.246666667,0.0,22.246666667,22.246666667,22.246666667,22,0.0,0.0,0.0,5.37166666575,0.0,5.37166666575,5.37166666575,5.37166666575,22,0.0,0.0,0.0,21.486666663,0.0,21.486666663,21.486666663,21.486666663,22,0.0,0.0,0.0,59.11000000000001,0.0,59.11,59.11,59.11,22,0.0,0.0,0.0,76.54,0.0,76.54,76.54,76.54,22,0.0,0.0,0.0,Teff
zone_06_12,6,mendeley_8v757rr4st_crop_recommendation_soil_weather,50,457,18,6,0.64,ok,black,5,0.8333333333333334,0.0,7.707142857142857,0.3507572693771376,7.1,8.5,7.699999999999999,42,1.4000000000000004,0.04551067443262211,0.0,0.07744672185714285,0.030609782233467282,0.024,0.1324,0.09,42,0.1084,0.39523664138980164,0.0,4.8776190476190475,4.070781557082373,0.73,20.0,3.0,42,19.27,0.8345837420553534,0.0,391.8095238095238,71.80503348591972,208.0,561.0,402.0,42,353.0,0.183265155955799,0.0,1.068095238095238,0.2419356707004136,0.7,1.7,1.0,42,1.0,0.2265113278960627,0.0,5.9383333333333335,1.9094411347707139,3.0,11.0,6.0,42,8.0,0.3215449567393849,0.0,0.74,0.0,0.74,0.74,0.74,42,0.0,0.0,0.0,88.38,0.0,88.38,88.38,88.38,42,0.0,0.0,0.0,9.474999999,0.0,9.474999999,9.474999999,9.474999999,42,0.0,0.0,0.0,16.695000000375,0.0,16.695000000375,16.695000000375,16.695000000375,42,0.0,0.0,0.0,22.246666667,0.0,22.246666667,22.246666667,22.246666667,42,0.0,0.0,0.0,5.37166666575,0.0,5.37166666575,5.37166666575,5.37166666575,42,0.0,0.0,0.0,21.486666663,0.0,21.486666663,21.486666663,21.486666663,42,0.0,0.0,0.0,59.11,0.0,59.11,59.11,59.11,42,0.0,0.0,0.0,76.54,0.0,76.54,76.54,76.54,42,0.0,0.0,0.0,Teff
zone_07_00,7,mendeley_8v757rr4st_crop_recommendation_soil_weather,44,46,2,2,0.9090909090909091,ok,black,5,0.45,0.0,6.06925,0.5113250133044244,5.03,7.45,6.11,40,2.42,0.08424846781800459,0.0,0.23000000000000004,0.0,0.23,0.23,0.23,40,0.0,0.0,0.0,9.876275000000001,14.59430879941535,1.034,89.656,6.048,40,88.622,1.477713895108768,0.0,296.303975,98.55755585404115,82.392,502.668,299.492,40,420.276,0.33262313087106293,0.0,1.4260512,0.8892662907687152,0.462121,4.791,1.1995,40,4.328879000000001,0.6235865099154331,0.0,13.27945,2.076142317017988,9.453,20.017,13.0915,40,10.564,0.15634249287568294,0.0,0.73,0.0,0.73,0.73,0.73,40,0.0,0.0,0.0,3.44,0.0,3.44,3.44,3.44,40,0.0,0.0,0.0,10.0241666665,0.0,10.0241666665,10.0241666665,10.0241666665,40,0.0,0.0,0.0,16.512916666625,0.0,16.512916666625,16.512916666625,16.512916666625,40,0.0,0.0,0.0,23.13666667,0.0,23.13666667,23.13666667,23.13666667,40,0.0,0.0,0.0,5.710833332499999,0.0,5.710833332499999,5.710833332499999,5.710833332499999,40,0.0,0.0,0.0,22.843333329999997,0.0,22.843333329999997,22.843333329999997,22.843333329999997,40,0.0,0.0,0.0,56.57000000000001,0.0,56.57,56.57,56.57,40,0.0,0.0,0.0,77.03,0.0,77.03,77.03,77.03,40,0.0,0.0,0.0,Wheat
zone_08_00,8,mendeley_8v757rr4st_crop_recommendation_soil_weather,17,17,1,1,1.0,ok,brown,4,0.4117647058823529,0.0,5.629411764705883,0.38714452385761705,5.06,6.43,5.57,17,1.37,0.06877175449926322,0.0,0.23,0.0,0.23,0.23,0.23,17,0.0,0.0,0.0,15.788287058823528,19.288792745681285,0.83888,66.314,6.382,17,65.47511999999999,1.2217153560621032,0.0,324.5754117647059,170.69266669882845,77.385,738.231,317.357,17,660.846,0.5258952481051414,0.0,2.1713532352941174,1.6471678529974763,0.451893,6.611,1.772,17,6.159107,0.7585904615719338,0.0,13.991823529411764,2.5647280858624693,10.133,17.755,13.816,17,7.622,0.18330191775726992,0.0,0.73,0.0,0.73,0.73,0.73,17,0.0,0.0,0.0,3.44,0.0,3.44,3.44,3.44,17,0.0,0.0,0.0,10.0241666665,0.0,10.0241666665,10.0241666665,10.0241666665,17,0.0,0.0,0.0,16.512916666625,0.0,16.512916666625,16.512916666625,16.512916666625,17,0.0,0.0,0.0,23.13666667,0.0,23.13666667,23.13666667,23.13666667,17,0.0,0.0,0.0,6.229166665749999,0.0,6.229166665749999,6.229166665749999,6.229166665749999,17,0.0,0.0,0.0,24.916666662999997,0.0,24.916666662999997,24.916666662999997,24.916666662999997,17,0.0,0.0,0.0,56.57,0.0,56.57,56.57,56.57,17,0.0,0.0,0.0,77.03,0.0,77.03,77.03,77.03,17,0.0,0.0,0.0,Barley
zone_09_01,9,mendeley_8v757rr4st_crop_recommendation_soil_weather,57,175,7,7,0.8245614035087719,ok,black,6,0.4716981132075472,0.0,5.667924528301886,0.3446032193840758,5.0,6.4,5.6,53,1.4000000000000004,0.060798836975219775,0.0,0.13140377358490568,0.025867160367659462,0.09,0.202,0.128,53,0.11200000000000002,0.19685249260323234,0.0,4.654905660377358,3.952596820514871,1.0,23.5,4.0,53,22.5,0.849125011095165,0.0,270.62264150943395,84.52542321580722,91.0,443.0,267.0,53,352.0,0.3123368493646924,0.0,1.388490566037736,0.4398749657416433,0.8,3.27,1.3,53,2.4699999999999998,0.31680083142148513,0.0,10.382264150943396,3.7019078457078334,4.0,20.0,9.0,53,16.0,0.35656074550669714,0.0,0.62,0.0,0.62,0.62,0.62,53,0.0,0.0,0.0,67.12,0.0,67.12,67.12,67.12,53,0.0,0.0,0.0,10.025,0.0,10.025,10.025,10.025,53,0.0,0.0,0.0,20.393750000375,0.0,20.393750000375,20.393750000375,20.393750000375,53,0.0,0.0,0.0,24.333333337000003,0.0,24.333333337000003,24.333333337000003,24.333333337000003,53,0.0,0.0,0.0,3.4066666667499996,0.0,3.4066666667499996,3.4066666667499996,3.4066666667499996,53,0.0,0.0,0.0,13.626666666999999,0.0,13.626666666999999,13.626666666999999,13.626666666999999,53,0.0,0.0,0.0,57.49,0.0,57.49,57.49,57.49,53,0.0,0.0,0.0,81.40000000000002,0.0,81.4,81.4,81.4,53,0.0,0.0,0.0,Teff
zone_09_04,9,mendeley_8v757rr4st_crop_recommendation_soil_weather,49,175,7,3,0.8775510204081632,ok,black,6,0.5813953488372093,0.0,6.794651162790698,0.5332976870701107,6.1,8.2,6.6,43,2.0999999999999996,0.07848786851495622,0.0,0.10363953488372094,0.028788672867862495,0.0503,0.19,0.1045,43,0.1397,0.27777694004669296,0.0,8.962558139534883,9.53394988674515,0.89,53.0,5.0,43,52.11,1.0637531983965371,0.0,290.3255813953488,111.77266914638082,93.0,598.0,288.0,43,505.0,0.38499077004921306,0.0,1.899767441860465,1.197812467180809,0.7,7.3,1.58,43,6.6,0.6305047874742905,0.0,6.712558139534884,1.980933032957733,3.0,13.0,6.0,43,10.0,0.2951085103145182,0.0,0.62,0.0,0.62,0.62,0.62,43,0.0,0.0,0.0,67.12,0.0,67.12,67.12,67.12,43,0.0,0.0,0.0,10.025,0.0,10.025,10.025,10.025,43,0.0,0.0,0.0,20.393750000375,0.0,20.393750000375,20.393750000375,20.393750000375,43,0.0,0.0,0.0,24.333333337000003,0.0,24.333333337000003,24.333333337000003,24.333333337000003,43,0.0,0.0,0.0,3.406666666749999,0.0,3.4066666667499996,3.4066666667499996,3.4066666667499996,43,0.0,0.0,0.0,13.626666666999997,0.0,13.626666666999999,13.626666666999999,13.626666666999999,43,0.0,0.0,0.0,57.49,0.0,57.49,57.49,57.49,43,0.0,0.0,0.0,81.4,0.0,81.4,81.4,81.4,43,0.0,0.0,0.0,Teff
